dith_amp,seed,B_max,B_fro,cond,rank,B_err,B_q_elev,B_p_ail,abs_p,abs_q,abs_dalt
0.3,0,0.71331,0.82837,11241.49,14,0.0,0.007902,-0.039818,0.12438,0.06137,0.61
0.3,1,0.141396,0.269527,28218.79,14,0.0,0.002272,-0.016035,0.09391,0.03824,1.11
0.3,2,0.239249,0.399566,7502.97,14,0.0,0.005103,-0.003468,0.12845,0.05929,0.55
0.0,0,55.703361,74.091928,70324.43,13,89.1026,-0.038592,0.168291,0.03433,0.03157,1.03
0.0,1,130.226121,142.713638,7714.09,13,529.903,0.002985,0.1622,0.07156,0.02518,0.45
0.0,2,147.51996,227.764719,16186.55,13,570.1782,-0.002928,0.047641,0.07362,0.02607,0.61
0.005,0,33.000936,46.893751,14779.56,14,56.2662,-0.006368,-0.011186,0.06861,0.0266,0.74
0.005,1,33.418196,48.496899,19979.17,14,180.718,-0.001096,0.02422,0.04372,0.02741,1.07
0.005,2,37.244738,46.568372,27405.21,14,116.2591,0.000114,-0.000505,0.03833,0.02789,1.08
0.01,0,14.201979,15.184304,14197.76,14,18.2572,0.00536,-0.002481,0.07903,0.02562,0.47
0.01,1,15.284586,19.524988,26765.97,14,72.4221,-0.009367,0.025079,0.07115,0.02619,0.63
0.01,2,13.808206,23.912067,19884.41,14,60.3851,-0.00218,-0.00864,0.06011,0.02736,0.93
0.03,0,5.736481,7.146064,14041.91,14,8.4189,0.008548,-0.008764,0.07484,0.02594,0.6
0.03,1,1.645412,2.94935,10427.57,14,11.2051,0.004442,0.026423,0.07607,0.02501,0.4
0.03,2,2.484422,3.254425,6383.79,14,7.6687,-0.007951,0.004872,0.07391,0.02528,0.36
0.05,0,2.36765,3.918654,3146.5,14,4.3074,0.006142,-0.0066,0.07534,0.02461,0.33
0.05,1,1.207229,1.798543,20538.21,14,6.5242,0.004398,0.009352,0.03841,0.02725,1.16
0.05,2,3.312376,4.478575,10894.23,14,11.071,0.001164,0.001153,0.06438,0.02787,0.83
0.1,0,1.532526,1.613392,81379.79,14,1.9553,0.002876,-0.006861,0.02614,0.02448,1.13
0.1,1,0.674228,0.837804,7921.1,14,2.8522,0.013752,-0.007659,0.07057,0.02785,0.76
0.1,2,0.638432,0.722889,13640.5,14,1.7452,0.001705,0.002526,0.02535,0.03358,1.13
0.2,0,0.494651,0.924183,3852.83,14,1.5689,0.010754,-0.030693,0.09297,0.03897,0.68
0.2,1,0.111156,0.130748,29731.33,14,0.8379,0.000955,-0.005374,0.04749,0.03045,1.06
0.2,2,0.493771,0.779134,4897.78,14,1.7914,-0.005188,-0.018537,0.13986,0.05208,0.27
