jerk_coef,seed,total_reward,mean_da,sum_sq_da,sign_flips,stall_viol,alt_viol,done_count
0.0,0,-127.306,0.06396,16.5251,49,0,0,0
0.0,1,-155.425,0.06455,16.6115,51,0,0,0
0.0,2,-518.516,0.05895,13.5176,43,0,0,0
0.0,3,-195.758,0.06686,17.7582,51,0,0,0
0.0,4,-195.221,0.06357,16.1583,45,0,0,0
0.01,0,-127.471,0.06396,16.5251,49,0,0,0
0.01,1,-155.591,0.06455,16.6115,51,0,0,0
0.01,2,-518.651,0.05895,13.5176,43,0,0,0
0.01,3,-195.936,0.06686,17.7582,51,0,0,0
0.01,4,-195.383,0.06357,16.1583,45,0,0,0
0.05,0,-128.132,0.06396,16.5251,49,0,0,0
0.05,1,-156.255,0.06455,16.6115,51,0,0,0
0.05,2,-519.191,0.05895,13.5176,43,0,0,0
0.05,3,-196.646,0.06686,17.7582,51,0,0,0
0.05,4,-196.029,0.06357,16.1583,45,0,0,0
0.1,0,-128.958,0.06396,16.5251,49,0,0,0
0.1,1,-157.086,0.06455,16.6115,51,0,0,0
0.1,2,-519.867,0.05895,13.5176,43,0,0,0
0.1,3,-197.534,0.06686,17.7582,51,0,0,0
0.1,4,-196.837,0.06357,16.1583,45,0,0,0
0.3,0,-132.263,0.06396,16.5251,49,0,0,0
0.3,1,-160.408,0.06455,16.6115,51,0,0,0
0.3,2,-522.571,0.05895,13.5176,43,0,0,0
0.3,3,-201.086,0.06686,17.7582,51,0,0,0
0.3,4,-200.069,0.06357,16.1583,45,0,0,0
1.0,0,-143.831,0.06396,16.5251,49,0,0,0
1.0,1,-172.036,0.06455,16.6115,51,0,0,0
1.0,2,-532.033,0.05895,13.5176,43,0,0,0
1.0,3,-213.517,0.06686,17.7582,51,0,0,0
1.0,4,-211.379,0.06357,16.1583,45,0,0,0
